Id,Label,tipo,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,nodecolor-multimode,X,Y,Size,Color
bca9d31ff5513792f87b573a284b5cb2,,User,6,3,9,3,0.434004,0.464777,0,1,36,blue,358.350922,-43.054276,10,"#000000"
cb400cf0d3279925e4d1aef520576d54,,User,7,2,9,3,0.434004,0.464777,0,1,36,blue,170.219452,402.178101,10,"#000000"
db47dc20d461ea352b7b7d58a44987be,,User,8,1,9,3,0.434004,0.464777,0,1,36,blue,66.997475,-71.434647,10,"#000000"
f1397965f9f0eadb70e32760522da134,,User,9,0,9,3,0.434004,0.464777,0,1,36,blue,137.308136,-233.216782,10,"#000000"
01b4bdc0038953d93b2bf58b40dbe6ea,,User,0,10,10,1,1,1,0,1,45,red,247.528168,435.264954,10,"#000000"
1676336c10c429f4617e96dbcf40d25e,,User,1,9,10,1,1,1,0,1,45,blue,407.078949,340.76355,10,"#000000"
1a2a50197273c836e3116cee0bc6f9a5,,User,2,8,10,1,1,1,0,1,45,blue,-274.542145,460.153809,10,"#000000"
3c8148aa853b89cef9d3d0265d4d0156,,User,3,7,10,1,1,1,0,1,45,blue,-282.821533,-207.196579,10,"#000000"
4d9a39302416483d7e3ce020133f7dc9,,User,4,6,10,1,1,1,0,1,45,blue,-482.567902,-19.725569,10,"#000000"
5fe29b88a56c8d9bb469852ca6beb84c,,User,5,5,10,1,1,1,0,1,45,blue,-122.986259,257.66803,10,"#000000"
7aa081f7e2869ef7426cfcdddb8762c9,,User,6,4,10,1,1,1,0,1,45,blue,329.593048,-200.115311,10,"#000000"
9f92ec1479fffdd428fa4af851ff0490,,User,7,3,10,1,1,1,0,1,45,blue,-346.884003,-481.644196,10,"#000000"
a85f952c1f1ac55c86bcba93ce846feb,,User,8,2,10,1,1,1,0,1,45,blue,180.962067,-448.053192,10,"#000000"
bd99dec544aaab119f8f27aa715966d7,,User,9,1,10,1,1,1,0,1,45,blue,-75.932732,-427.09729,10,"#000000"
edd9de52a462029d332ed775551de46c,,User,10,0,10,1,1,1,0,1,45,blue,124.769081,-271.307526,10,"#000000"
06430b0a1d83b2860d9e8d0bb91a0fb1,,User,1,25,26,7,0.224827,0.2464,0,1,325,red,324.502655,-412.177399,10,"#000000"
0e3d5419c86a94eaa328448add6bacc9,,User,2,24,26,7,0.224827,0.2464,0,1,325,red,354.136688,17.174242,10,"#000000"
1459f24d2382936b86018fd7dba01145,,User,3,23,26,7,0.224827,0.2464,0,1,325,red,-323.197235,45.830795,10,"#000000"
192de679a04cee61c00e2417eab2d0b4,,User,4,25,29,7,0.224906,0.247182,2871,0.815271,331,red,73.252907,-337.998718,10,"#000000"
1e3063b31497f8511ca8fe0fd2e86ee9,,User,5,21,26,7,0.224827,0.2464,0,1,325,red,-130.557861,232.413193,10,"#000000"
32224f3ddab778691d33ef5806980077,,User,6,20,26,7,0.224827,0.2464,0,1,325,red,391.142853,54.997116,10,"#000000"
580e2ef1838a0f5f4354355e879a7d4a,,User,7,19,26,7,0.224827,0.2464,0,1,325,red,482.561981,73.96611,10,"#000000"
5a4c10da80af473267bd2fdfdcddf3d9,,User,8,21,29,7,0.224906,0.247182,2871,0.815271,331,red,152.377472,260.306335,10,"#000000"
5c5a14a441ecba80bdbdc97b413f3267,,User,9,17,26,7,0.224827,0.2464,0,1,325,red,384.185394,-260.352478,10,"#000000"
5c6e890441ae523c298bed6a73f02119,,User,10,16,26,7,0.224827,0.2464,0,1,325,red,57.531528,-276.485016,10,"#000000"
69230d17ce6a7c95a24251d7472600ed,,User,11,15,26,7,0.224827,0.2464,0,1,325,red,-275.403107,349.742859,10,"#000000"
81608c25de463162e6a897a5ce36cf1e,,User,12,14,26,7,0.224827,0.2464,0,1,325,red,-354.067474,-15.359359,10,"#000000"
8db609d2c5b8c36a7a22b37af28c5da0,,User,13,13,26,7,0.224827,0.2464,0,1,325,red,241.757904,-404.736176,10,"#000000"
9d9967efb093b77ec329b7df47ad0d42,,User,14,12,26,7,0.224827,0.2464,0,1,325,red,-285.783173,-182.614792,10,"#000000"
a5b78cc0b5905ae754f5ab86f9bf1f04,,User,15,11,26,7,0.224827,0.2464,0,1,325,red,-442.768158,66.662582,10,"#000000"
b17452ff9a91ad7512cfc4d298910e13,,User,16,10,26,7,0.224827,0.2464,0,1,325,red,-473.563934,-149.166977,10,"#000000"
b82b3306a471a46f42d7d5756df53631,,User,17,9,26,7,0.224827,0.2464,0,1,325,red,189.945221,-386.043274,10,"#000000"
bd421426cc86e771c1bcedaf6a962257,,User,18,8,26,7,0.224827,0.2464,0,1,325,red,-265.065399,394.8172,10,"#000000"
c0e02c5ab296f6b04fb0819ee097bcbd,,User,19,7,26,7,0.224827,0.2464,0,1,325,red,344.210968,116.22551,10,"#000000"
c11793546a7c7de973bcc5fdc169c876,,User,20,6,26,7,0.224827,0.2464,0,1,325,red,275.943756,-113.535965,10,"#000000"
c39680be87343c9337754d993e7efcac,,User,21,5,26,7,0.224827,0.2464,0,1,325,red,138.792267,-374.647522,10,"#000000"
ccaf2b080044c7a785b2f8d752e5a7cd,,User,22,4,26,7,0.224827,0.2464,0,1,325,red,-370.183441,102.966721,10,"#000000"
